rank,CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
1,4912-PIGUY,94,High,0.9381,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
2,7577-SWIFR,94,High,0.9377,1,Month-to-month,Fiber optic,89.25,Offer a term contract; Add Online Security (incentive)
3,1452-VOQCH,93,High,0.9339,1,Month-to-month,Fiber optic,75.1,Offer a term contract; Add Online Security (incentive)
4,2545-EBUPK,93,High,0.9334,2,Month-to-month,Fiber optic,84.05,Offer a term contract; Add Online Security (incentive)
5,7439-DKZTW,93,High,0.9299,1,Month-to-month,Fiber optic,80.55,Offer a term contract; Add Online Security (incentive)
6,5542-TBBWB,93,High,0.928,1,Month-to-month,Fiber optic,69.9,Offer a term contract; Add Online Security (incentive)
7,3878-AVSOQ,92,High,0.9233,1,Month-to-month,Fiber optic,71.25,Offer a term contract; Add Online Security (incentive)
8,0021-IKXGC,92,High,0.922,1,Month-to-month,Fiber optic,72.1,Offer a term contract; Add Online Security (incentive)
9,5150-ITWWB,92,High,0.9204,3,Month-to-month,Fiber optic,94.85,Offer a term contract; Add Online Security (incentive)
10,4927-WWOOZ,92,High,0.9193,2,Month-to-month,Fiber optic,91.45,Offer a term contract; Add Online Security (incentive)
11,7465-ZZRVX,92,High,0.9162,1,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
12,9603-OAIHC,92,High,0.9159,1,Month-to-month,Fiber optic,70.05,Offer a term contract; Add Online Security (incentive)
13,1640-PLFMP,92,High,0.9158,1,Month-to-month,Fiber optic,70.25,Offer a term contract; Add Online Security (incentive)
14,1628-BIZYP,91,High,0.9119,1,Month-to-month,Fiber optic,85.0,Offer a term contract; Add Online Security (incentive)
15,5043-TRZWM,91,High,0.9115,1,Month-to-month,Fiber optic,75.55,Offer a term contract; Add Online Security (incentive)
16,6350-XFYGW,91,High,0.9103,4,Month-to-month,Fiber optic,94.75,Offer a term contract; Add Online Security (incentive)
17,9617-INGJY,91,High,0.9069,1,Month-to-month,Fiber optic,70.6,Offer a term contract; Add Online Security (incentive)
18,9605-WGJVW,91,High,0.9059,1,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
19,2262-SLNVK,91,High,0.9058,1,Month-to-month,Fiber optic,70.1,Offer a term contract; Add Online Security (incentive)
20,7398-SKNQZ,90,High,0.905,3,Month-to-month,Fiber optic,94.9,Offer a term contract; Add Online Security (incentive)
21,5032-MIYKT,91,High,0.905,1,Month-to-month,Fiber optic,70.7,Offer a term contract; Add Online Security (incentive)
22,8775-ERLNB,90,High,0.9045,1,Month-to-month,Fiber optic,74.3,Offer a term contract; Add Online Security (incentive)
23,4234-XTNEA,90,High,0.9032,2,Month-to-month,Fiber optic,79.95,Offer a term contract; Add Online Security (incentive)
24,8739-XNIKG,90,High,0.903,5,Month-to-month,Fiber optic,84.0,Offer a term contract; Add Online Security (incentive)
25,8040-MNRTF,90,High,0.9026,1,Month-to-month,Fiber optic,71.1,Offer a term contract; Add Online Security (incentive)
26,3318-NMQXL,90,High,0.9013,3,Month-to-month,Fiber optic,92.0,Offer a term contract; Add Online Security (incentive)
27,2789-HQBOU,90,High,0.8994,3,Month-to-month,Fiber optic,80.35,Offer a term contract; Add Online Security (incentive)
28,9957-YODKZ,90,High,0.8978,6,Month-to-month,Fiber optic,80.8,Offer a term contract; Add Online Security (incentive)
29,3462-BJQQA,90,High,0.8974,6,Month-to-month,Fiber optic,89.75,Offer a term contract; Add Online Security (incentive)
30,4847-TAJYI,90,High,0.8973,6,Month-to-month,Fiber optic,89.35,Offer a term contract; Add Online Security (incentive)
31,2254-DLXRI,90,High,0.8973,1,Month-to-month,Fiber optic,79.15,Offer a term contract; Add Online Security (incentive)
32,1393-IMKZG,89,High,0.8947,1,Month-to-month,Fiber optic,95.85,Offer a term contract; Add Online Security (incentive)
33,6407-UTSLV,89,High,0.8944,2,Month-to-month,Fiber optic,83.8,Offer a term contract; Add Online Security (incentive)
34,1197-BVMVG,89,High,0.8914,4,Month-to-month,Fiber optic,74.45,Offer a term contract; Add Online Security (incentive)
35,4929-XIHVW,89,High,0.8908,2,Month-to-month,Fiber optic,95.5,Offer a term contract; Add Online Security (incentive)
36,2897-DOVND,89,High,0.8907,2,Month-to-month,Fiber optic,69.8,Offer a term contract; Add Online Security (incentive)
37,6630-UJZMY,89,High,0.8906,4,Month-to-month,Fiber optic,83.25,Offer a term contract; Add Online Security (incentive)
38,9717-QEBGU,89,High,0.8893,2,Month-to-month,Fiber optic,70.3,Offer a term contract; Add Online Security (incentive)
39,4749-OJKQU,89,High,0.8885,4,Month-to-month,Fiber optic,75.65,Offer a term contract; Add Online Security (incentive)
40,6357-JJPQT,89,High,0.8884,3,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
41,3422-GALYP,89,High,0.8879,2,Month-to-month,Fiber optic,79.45,Offer a term contract; Add Online Security (incentive)
42,8309-IEYJD,89,High,0.8872,1,Month-to-month,Fiber optic,70.6,Offer a term contract; Add Online Security (incentive)
43,3411-WLRSQ,88,High,0.8817,3,Month-to-month,Fiber optic,74.6,Offer a term contract; Add Online Security (incentive)
44,2905-KFQUV,88,High,0.8805,2,Month-to-month,Fiber optic,70.4,Offer a term contract; Add Online Security (incentive)
45,4090-KPJIP,88,High,0.8802,3,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
46,8714-CTZJW,88,High,0.8783,4,Month-to-month,Fiber optic,82.85,Offer a term contract; Add Online Security (incentive)
47,8622-ZLFKO,88,High,0.878,6,Month-to-month,Fiber optic,90.75,Offer a term contract; Add Online Security (incentive)
48,9741-YLNTD,88,High,0.878,6,Month-to-month,Fiber optic,87.95,Offer a term contract; Add Online Security (incentive)
49,5119-NZPTV,88,High,0.8772,2,Month-to-month,Fiber optic,70.1,Offer a term contract; Add Online Security (incentive)
50,6229-LSCKB,88,High,0.8766,6,Month-to-month,Fiber optic,79.7,Offer a term contract; Add Online Security (incentive)
